,Property_Type,Area,Status,Floor,Transaction_Type,Property_Furnishing,Direction_Facing,Description,Price,Price_per_sqft
5,3 BHK ,700 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,Bharat Luxury Homes,3BHK Builder Floor in Uttam Nagar::::fully furnished one bedroom set with one dinning hall::::Freehold Property::::Reserved Parking::::Ample space for visitor parking::::Bathroom with modern facilities::::Complete lights in all room::::Wooden Almirah in bedroom::::Separate Electric and water meter connection::::Separate Water Tank at roof.::::Electronic door lock system with Intercom facility,₹35 Lac,₹5000 per sqft
6,2 BHK ,65 sqyrd,Ready to Move,3 out of 8,New Property,Semi-Furnished,East,"2bhk This beautiful 2 BHK Flat is available for sale in Dwarka Sector 14, New Delhi. The apartment sprawls a carpet area of 65 square feet and flaunts a unique style. The flat is on floor number 3 and the building has a total of 8 floors. This 2 BHK flat on sale is strategically designed and comes with 2 bedrooms, which are cozy & pleasing for any family. The 1 balconies offers a nice view and free airflow into the flat. There are 2 bathrooms, all fitted with modular bathroom accessories. The apartment faces the east giving it a certain advantage. Your hunt for the perfect apartment for sale comes to an end here. This apartment in one of the significant areas of Dwarka Sector 14 is ready to move, and can be purchased at the best price of INR 35 Lac. The apartment is semi-furnished. This 2 BHK flat boasts of being in close proximity to significant landmarks like old that enhance the overall living experience. The 2 BHK flat for sale is located at Dwarka Sector 14, New Delhi - Dwarka, Delhi NCR.",₹35 Lac,₹5556 per sqft
7,3 BHK ,800 sqft,Ready to Move,Ground out of 4,New Property,Semi-Furnished,East,3bhkbuilderfloorapartmentfreeholdpropertywithregistry80loanfacilitywithliftwithcarparking3bhksemi-FurnishedflooravailableFallceilinginallroomswalltexturewardrobswallequipmentItfeaturesthebestdesignstandardswhichgiveyoutheexperienceofluxuryQualityandworkmanshipItpromisescompleteprivacyandisdesignedtogiveyouthefreedomtogrowflourishandenjoyalifestyleinanenvironmentwhichspellsclassineverysquare,₹40 Lac,₹4444 per sqft
8,1 BHK ,400 sqft,Ready to Move,New Property,Unfurnished,Partap Homes,1,"Partap Homes are one of the popular residential project located in Uttam Nagar, Delhi. This project offers 1, 2, 3, 4 BHK bedroom builder floor with basic amenities for the comfort of residents. It is close to market and many educational institutions.",₹17 Lac,₹4250 per sqft
9,2 BHK ,500 sqft,Ready to Move,3 out of 4,New Property,Semi-Furnished,North - East,"Its 2 BHK flat available for sale in Munirka with attached 1 bathroom, modular kitchen, balcony, with the registry, false ceiling done in all rooms and drawing room, wooding work done in the complete flat, excellent interior, more details contacts",₹38 Lac,₹6496 per sqft
10,2 BHK ,500 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,North,2 BHK The property is close to metro station and near to main market its a 2 bhk newly constructed property with covered area of 550 sq ft Additional details The property has a dedicated security guard.It is under cctv surveillance.You can easily park your car inside the compound.Each house has a dedicated water tank. The house has muncipal supply.Partial power backup available.The kitchen has been built with modular fittings.Piped gas facility is available.This is a corner house property.,₹37 Lac,₹6727 per sqft
11,2 BHK ,430 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,North - East,"This property is located in sector 25 Rohini. Near to Ryan Internatonal,Queen Mary,Kendriya Vidyalaya,Pacific Sports complex including Gold gym,Swimming Pool,Tennis Academy,Cricket Academy. Delhi school of Proffesional Studies and Sirifort College of Management. Very close to upcoming Metro station. Freehold property so loan facility available from all leading banks",₹27.5 Lac,₹6366 per sqft
12,2 BHK ,630 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,East,"2 side open This beautiful 2 BHK Flat is available for sale in Burari, New Delhi. It offers the entire family a comfortable space with a carpet area of 630 square feet. The building has total 4 floors and this spacious apartment for sale is on floor number 1. The 2 BHK flat has 2 well-ventilated bedrooms, including the master bedroom, which has a classic look. The flat comprises of 2 balconies with an alluring view. There are total 2 bathrooms so that families can live without any inconvenience. The beautifully designed vitrified,marble,normal tiles/kotah stone flooring enhances the beauty of the room. The fact that the apartment is facing the east gives it an edge. This flat for sale is the perfect property for you! The ready to move flat in the prime area of Burari is available at a reasonable price of INR 35 Lac. The flat is semi-furnished and makes for an ideal choice for any family. Burari, New Delhi - North, Delhi NCR is the exact location of this 2 BHK flat for sale.",₹35 Lac,₹4575 per sqft
13,1 BHK ,350 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,North - East,"1 BHK This flat is only 2 min away from metro. Near to school park hospital market petrol pump and bank. Good material used in construction of this floor. Rohini Sector 24, New Delhi has an appealing 1 BHK flat for sale with various amenities. A spacious flat with a carpet area of 350 square feet, it is suitable for any family. The building has a total of 4 floors and this apartment for sale is located on floor number 1. There are 1 well-appointed bedrooms, including the master bedroom that is modern and spacious. Enjoy a scenic view from the 1 balconies which are attached with the rooms. For convenience of all the family member, the flat has 1 bathrooms. The flat offers a sturdy flooring of marble,normal tiles/kotah stone for more durability. 1 open parking space is also offered for this 1 BHK apartment. This flat faces north - east giving it a vantage position. It overlooks the garden/park, main road and offers a soothing view while you enjoy your evening tea. This flat for resale is a choice property. This apartment ready to move in the Rohini Sector 24 is available for an attractive price of INR 32 Lac. The flat has been handed over to the buyer on jan '22, which is its date of possession. The apartment is semi-furnished. Significant landmarks in its proximity are near by the sovereign school. This stunning 1 BHK equipped with all amenities is up for sale at Rohini Sector 24, New Delhi - Rohini, Delhi NCR.",₹32 Lac,₹8000 per sqft
14,1 BHK ,550 sqft,Ready to Move,Ground out of 3,Resale,Semi-Furnished,North - East,"This is janta joda flat ground floor 2 bedroom attached with 2 bathroom, 2 balconies society flat in premier locations.This Freehold flat is soberly designed and , all essential electricals fitted, wardrobe in all bedrooms, marble flooring. The flat is Park and north East facing. Society offers Power back up, Intercom, Well maintained premises, Security, Water facility available for 24 hours",₹40 Lac,₹7273 per sqft
15,3 BHK ,720 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,South - East,3 BHK Builder Floor in DwarkaDwarka Mor fully furnished three bedroom set with dinning hallFreehold PropertyUpto 90 Home Loan availableModular Kitchen with electronic chimneyReserved ParkingAmple space for visitor parkingBathroom with modern facilitiesComplete lights in all room03 Almirah in bedroom with dressing tableSeparate Electric water meter connectionSeparate Water Tank at roofElectronic door lock system with Intercom facilityFall Ceiling work in all roomsTexture Paint in all room24X7 running water branded electric fittingImported Vitrified Tile flooring well connected to main road etc.Texture paint 3D wallpaper in all rooms,₹35 Lac,₹4118 per sqft
16,1 BHK ,450 sqft,Ready to Move,3 out of 4,New Property,Semi-Furnished,North,"Newly Constructed Builder Floor in the most demanded location of Delhi. Mohan Garden is next to Dwarka with all nearby facilities like Park, Vegas Mall, Metro Station, Hospitals & Schools. All these are within the proximity of 2KMs.::::::::Guranteed structual Quality with all branded appliances used in building the floor. Tastefully designed with Front Balcony view with Proper sunlight & Air in all the rooms. Living room, Bathroom & Kitchen are well ventilated. 25Ft front wide road & Reserved Car parking are unique feature of property. 5 Mins to Main Najafgarh Road & Access to both DK & Gurudwara rd",₹23 Lac,₹5111 per sqft
17,1 BHK ,650 sqft,Ready to Move,2 out of 4,New Property,Unfurnished,East,"near Mundka metro station 1 BHK flat available for sale in New Delhi in the prime location of Lok Nayak Puram, Bakkarwala. It gives a comfortable environment for the entire family with a carpet area of 650 square feet. 2 floor is for sale. However, there are 4 floors in the building. The 1 BHK flat has 1 well-ventilated bedrooms, including the master bedroom, which has a classic look. The 1 balconies are not only a delight to the eyes with beautiful views, but come with proper ventilation and sunlight. For the convenience of the residents, there are 1 bathrooms. The mosaic flooring gives a classic look to the flat. The flat has an added advantage that it faces in east direction. It presents a nice view as it overlooks the garden/park. This flat all equipped with required facilities, is up for sale. This ready to move flat in Lok Nayak Puram, Bakkarwala can be taken at a very economical pricing of INR 15 Lac. This immaculate house boasts of coming in unfurnished form which takes the entire deal to the next level. Some neighbouring landmarks are near mudka metro station. This 1 BHK flat for sale is located at Lok Nayak Puram, Bakkarwala, New Delhi - West, Delhi NCR.",₹15 Lac,₹2308 per sqft
18,2 BHK ,600 sqft,Ready to Move,3 out of 3,Resale,Semi-Furnished,East,"renovated 2 bhk in heart of city This exquisite 2 BHK Flat is offered for sale in Dwarka, New Delhi. It is based at Mohan Garden complex, that occupies a prominent place in the locality. Having a carpet area of 600 square feet, it is spacious enough for all the family members to live comfortably. This 2 BHK flat is on 3 floor. There are a total of 3 floors in the building. Savour the luxury of living in a spacious home with 2 bedrooms that are airy and designed for optimum privacy. This beautiful flat on sale comes with 1 balconies which are great for relaxation, reading or enjoying the view. For the convenience of the residents, there are 2 bathrooms. This flat faces east giving it a vantage position. It overlooks the main road which adds to its appeal. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This apartment ready to move in the Dwarka is available for an attractive price of INR 30 Lac. This contemporary apartment is semi-furnished. Visit 2 BHK flat for sale at Mohan Garden, Dwarka, New Delhi - Dwarka, Delhi NCR.",₹30 Lac,₹4762 per sqft
